Name,Year,Rating,Metascore,Votes
The Shawshank Redemption,1994,9.3,80,2271982
The Godfather,1972,9.2,100,1567291
Dil Bechara,2020,9,84,95285
The Dark Knight,2008,9,90,2234631
The Godfather: Part II,1974,9,94,1095146
The Lord of the Rings: The Return of the King,2003,8.9,94,1600214
Pulp Fiction,1994,8.9,94,1775297
Schindler's List,1993,8.9,96,1179750
12 Angry Men,1957,8.9,90,665974
Hamilton,2020,8.8,74,33226
Inception,2010,8.8,66,1993046
Fight Club,1999,8.8,92,1802425
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,82,1615853
Forrest Gump,1994,8.8,90,1750043
"Il buono, il brutto, il cattivo",1966,8.8,87,670521
The Lord of the Rings: The Two Towers,2002,8.7,73,1446032
The Matrix,1999,8.7,90,1627366
Goodfellas,1990,8.7,82,988177
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,83,1129318
One Flew Over the Cuckoo's Nest,1975,8.7,85,888745
Seppuku,1962,8.7,96,36692
Gisaengchung,2019,8.6,74,460386
Interstellar,2014,8.6,79,1441370
Cidade de Deus,2002,8.6,96,684424
Sen to Chihiro no kamikakushi,2001,8.6,91,623667
Saving Private Ryan,1998,8.6,61,1200243
The Green Mile,1999,8.6,59,1108766
La vita è bella,1997,8.6,65,603704
Se7en,1995,8.6,85,1397502
The Silence of the Lambs,1991,8.6,90,1230122
Star Wars,1977,8.6,98,1201462
Shichinin no samurai,1954,8.6,89,306971
It's a Wonderful Life,1946,8.6,59,387212
Joker,2019,8.5,88,840986
Ayla: The Daughter of War,2017,8.5,57,32070
Whiplash,2014,8.5,66,687829
The Intouchables,2011,8.5,85,734556
The Prestige,2006,8.5,85,1150890
The Departed,2006,8.5,67,1156433
The Pianist,2002,8.5,62,705594
Gladiator,2000,8.5,77,1304358
American History X,1998,8.5,64,1011645
The Usual Suspects,1995,8.5,88,966267
Léon,1994,8.5,75,1004601
The Lion King,1994,8.5,80,914535
Terminator 2: Judgment Day,1991,8.5,94,972578
Nuovo Cinema Paradiso,1988,8.5,87,222058
Hotaru no haka,1988,8.5,80,224129
Back to the Future,1985,8.5,97,1023748
Anand,1971,8.5,100,27757
Once Upon a Time in the West,1968,8.5,96,294089
Psycho,1960,8.5,99,584639
Casablanca,1942,8.5,75,508570
Modern Times,1936,8.5,79,210417
City Lights,1931,8.5,87,161948
Capharnaüm,2018,8.4,78,52260
Kimi no na wa.,2016,8.4,68,176445
Dangal,2016,8.4,81,146710
Spider-Man: Into the Spider-Verse,2018,8.4,81,332305
Avengers: Endgame,2019,8.4,78,747625
Avengers: Infinity War,2018,8.4,67,792163
Coco,I) (,8.4,95,349704
Django Unchained,2012,8.4,89,1313688
The Dark Knight Rises,2012,8.4,77,1476259
3 Idiots,2009,8.4,80,330780
Taare Zameen Par,2007,8.4,76,160965
WALL·E,2008,8.4,85,972143
The Lives of Others,2006,8.4,66,348512
Oldeuboi,2003,8.4,94,499410
Memento,2000,8.4,89,1095153
Mononoke-hime,1997,8.4,97,329372
Once Upon a Time in America,1984,8.4,90,301230
Raiders of the Lost Ark,1981,8.4,100,863312
The Shining,1980,8.4,78,866156
Apocalypse Now,1979,8.4,77,589206
Alien,1979,8.4,95,766546
Tengoku to jigoku,1963,8.4,80,30854
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,92,440001
Witness for the Prosecution,1957,8.4,69,103932
Paths of Glory,1957,8.4,89,171939
Rear Window,1954,8.4,69,430935
Sunset Blvd.,1950,8.4,55,195033
The Great Dictator,1940,8.4,68,196664
1917,2019,8.3,84,354814
Uri: The Surgical Strike,2019,8.3,70,40826
